displayName,genericName,brandNames,synonyms,dosageForms,commonUses,safetyNotes,source
Dolo,Paracetamol,Dolo,Acetaminophen;PCM,tablet,"May be prescribed for pain or fever management.","Use only as prescribed by your doctor.;Ask your doctor or pharmacist if you have questions.;This is reference information only.",Manual India override
Crocin,Paracetamol,Crocin,Acetaminophen;PCM,tablet,"May be prescribed for pain or fever management.","Use only as prescribed by your doctor.;Ask your doctor or pharmacist if you have questions.;This is reference information only.",Manual India override
Calpol,Paracetamol,Calpol,Acetaminophen;PCM,syrup;tablet,"May be prescribed for pain or fever management.","Use only as prescribed by your doctor.;Ask your doctor or pharmacist if you have questions.;This is reference information only.",Manual India override
Shelcal,Calcium / Vitamin D,Shelcal,Calcium;Vitamin D,tablet,"May be prescribed as a calcium and vitamin D supplement.","Use only as prescribed by your doctor.;Ask your doctor or pharmacist if you have questions.;This is reference information only.",Manual India override
Ecosprin,Aspirin,Ecosprin,Acetylsalicylic Acid,tablet,"May be prescribed for heart or pain-related care depending on your doctor's advice.","Use only as prescribed by your doctor.;Ask your doctor or pharmacist if you have questions.;This is reference information only.",Manual India override
Telma,Telmisartan,Telma,,tablet,"May be prescribed for blood pressure management.","Use only as prescribed by your doctor.;Ask your doctor or pharmacist if you have questions.;This is reference information only.",Manual India override
Amlong,Amlodipine,Amlong,,tablet,"May be prescribed for blood pressure management.","Use only as prescribed by your doctor.;Ask your doctor or pharmacist if you have questions.;This is reference information only.",Manual India override
Glycomet,Metformin,Glycomet,Metformin HCl,tablet;extended-release tablet,"May be prescribed for type 2 diabetes management.","Use only as prescribed by your doctor.;Ask your doctor or pharmacist if you have questions.;This is reference information only.",Manual India override
Pan-D,Pantoprazole / Domperidone,Pan-D,Pantoprazole;Domperidone,capsule,"May be prescribed for stomach acid or digestion-related care depending on your doctor's advice.","Use only as prescribed by your doctor.;Ask your doctor or pharmacist if you have questions.;This is reference information only.",Manual India override
Azithral,Azithromycin,Azithral,,tablet;suspension,"May be prescribed as an antibiotic when a doctor decides it is needed.","Use only as prescribed by your doctor.;Ask your doctor or pharmacist if you have questions.;This is reference information only.",Manual India override

